video_id,title,publishedAt,channelId,category,channelTitle,categoryId,trending_date,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,publish_date,publish_time,publish_hour,days_before_trend,views_per_day
g-C8QJH-NWI,"Rula Ke Gaya Ishq | Bhavin, Sameeksha, Vishal | Stebin Ben, Sunny Inder, Kumaar| Zee Music Originals",2019-11-21T06:30:11.000Z,UCFFbwnve3yF62-tVXkTyHqg,Music,Zee Music Company,10,2019-11-22,Rula Ke Gaya Ishq|Bhavin Bhanushali|Sameeksha Sud|Vishal Pandey|Stebin Ben|Rulake Gaya|Rula ke ishq|Rulake gaya ishq|Kumaar|Sunny Inder|zee music originals|new songs 2019|2019 hindi songs|sameeksha sud new tik tok|sameeksha sud song|vishal pandey tik tok|stebin ben all songs|rula ke gaya karaoke|zee music originals song|zee music originals new song|Hindi Songs|Breakup song|Hindi Sad Song|2019 hindi songs latest|tik tok songs,974483,92838,2899,3740,https://i.ytimg.com/vi/g-C8QJH-NWI/default.jpg,False,False,2019-11-21,06:30:11,6,1,974483.0
dpdeAAuQY74,BYN : The New Intern,2019-11-22T05:08:52.000Z,UC7sRFTKIbH4NNpFXmpUAWuA,Comedy,Be YouNick,23,2019-11-22,comedy movies|hindi comedy|hindi comedy video|jokes video|comedi video|comedy video hd|full comedy video|funniest youtube videos|funny clips|funny comedy|funny comedy video|funny jokes video|hindi funny video|indian comedian|indian funny video|komedi video|beyounick|beyounick vlogs|be younick|be you nick,658061,85884,1005,1974,https://i.ytimg.com/vi/dpdeAAuQY74/default.jpg,False,False,2019-11-22,05:08:52,5,1,658061.0
eYWHP6jCfiY,পত্নীৰ পৰকীয়া প্রেমক স্বীকৃতি দি সাংসাৰিক অশান্তিৰ পৰা মুক্তি পাবলৈ মন কৰিলে এজন পতিয়ে।,2019-11-21T14:45:44.000Z,UC1JkYCOb4wKvdWreGQ0CR9g,News & Politics,Pratidin Time,25,2019-11-22,[none],21519,573,32,90,https://i.ytimg.com/vi/eYWHP6jCfiY/default.jpg,False,False,2019-11-21,14:45:44,14,1,21519.0
ddc31Pz4f88,ROTI CHALLENGE #Funny Moral Story for kids | Healthy eating | AAYU AND PIHU SHOW,2019-11-21T08:30:01.000Z,UCFcBAGR0drI3F15EhMFjuTg,People & Blogs,Aayu and Pihu Show,22,2019-11-22,roti challenge|funny video|aayu and pihu challenge|funny game|moral story for kids|healthy eating,1675475,75364,5781,0,https://i.ytimg.com/vi/ddc31Pz4f88/default.jpg,True,False,2019-11-21,08:30:01,8,1,1675475.0
V0aJbZWDMUA,"FilterCopy | When You Fall In Love With Your Brother's Best Friend | Ft. Ambrish, Shreya, Abhinav",2019-11-22T07:43:18.000Z,UC7IMq6lLHbptAnSucW1pClA,Entertainment,FilterCopy,24,2019-11-22,love|relationship|filtercopy|filter copy|filtercopy love videos|filter copy love videos|filtercopy relationship videos|filter copy relationship videos|shreya gupto|first love|best friend|brother|sister|silbling|romantic|When You Fall In Love With Your Brother's Best Friend|Brothers best friend|love at first sight|funny|comedy|viral|trending|girlfriend|boyfriend,813492,50299,946,2464,https://i.ytimg.com/vi/V0aJbZWDMUA/default.jpg,False,False,2019-11-22,07:43:18,7,1,813492.0
aVrZfuH5h0g,MATHS TEACHER Part 2 (Mark Angel Comedy) (Episode 236),2019-11-22T08:03:44.000Z,UCQmZ9BIYOBSkxL-eqqg5z-g,Comedy,MarkAngelComedy,23,2019-11-22,samspeedy and mama|mark angel comedy|mark angel|emmanuella|aunty success|skit|funny|hilarious|african videos|funny african videos|nollywood movies|xploit comedy|trending videos|denilson igwe comedy|emmanuella comedy|african movies|yoruba movies|success comedy|kbrown comedy|funny short videos|short comedy|mama ojo|mama ojo and son|akpuruakpu mbe|maths teacher,317666,23916,452,1502,https://i.ytimg.com/vi/aVrZfuH5h0g/default.jpg,False,False,2019-11-22,08:03:44,8,1,317666.0
xBenpJNznJA,BB Ki Vines- | Ask BB- Episode 6 |,2019-11-19T13:30:04.000Z,UCqwUrj10mAEsqezcItqvwEw,Entertainment,BB Ki Vines,24,2019-11-22,askbb6|ask bb|bhuvan bam|sameer|titu mama|bb ki vines|funny|humour|comedy,6368194,542201,10543,24247,https://i.ytimg.com/vi/xBenpJNznJA/default.jpg,False,False,2019-11-19,13:30:04,13,3,2122731.3333333335
hXoV_7DrlL4,Aussie pace brigade to the fore as Pakistan bowled out | First Domain Test,2019-11-21T07:59:16.000Z,UCkBY0aHJP9BwjZLDYxAQrKg,Sports,cricket.com.au,17,2019-11-22,sp:ty=play|sp:dt=2019-11-21T00:00:00Z|sp:st=cricket|sp:li=icc|sp:ti:home=AUS|sp:ti:away=PAK|Josh Hazlewood|Mitchell Starc|Pat Cummins|Nathan Lyon|day one|Gabba|first Test|Australia|Pakistan|First Test,5105182,60421,2889,4079,https://i.ytimg.com/vi/hXoV_7DrlL4/default.jpg,False,False,2019-11-21,07:59:16,7,1,5105182.0
cc25fPs-xak,Realme 5s Unboxing & First Look - Best in Budget???🔥🔥🔥,2019-11-22T06:30:00.000Z,UCOhHO2ICt0ti9KAh-QHvttQ,Science & Technology,Technical Guruji,28,2019-11-22,realme 5s|realme 5s unboxing|realme unboxing|realme 5s smartphone|realme 5s india|realme 5s unboxing india|realme 5s review|best mid-range smartphone|budget smartphone|realme|realme 5s camera|realme 5s price|realme 5s specifications|Technicalguruji|technical guruji|Gaurav Chaudhary|Camera|Comparison|Hands on|First Look|Best Phone|Budget Phone|Redmi Note 8|Quad Camera|Ultra Macro|5000mAh|5 Pro|SD 665|48MP|Quad Cam|Mi A3|Realme 5s Vs Redmi Note 8,160827,18037,713,2349,https://i.ytimg.com/vi/cc25fPs-xak/default.jpg,False,False,2019-11-22,06:30:00,6,1,160827.0
eiFSb5rZYb4,"Bigg Boss 13 Review: Himanshi Khurrana Gets INJURED, Asim Fights With Siddharth",2019-11-22T06:46:14.000Z,UCVGiG3GcphUyMzNXg2iMN3A,Entertainment,Telly Reporter,24,2019-11-22,bb13|shehnaz fight|captain|bb13 captian|hindustani bhau|shefali zariwali|aarti singh|wild card contestants|bb13 latest episode|bb13 shefali zariwala|devoleena siddharth waxing task|paras chabbra|paras chabbra mahira sharma|weekend ka vaar|bb13 today episode|rashami siddharth fight|asim riaz|rashami desai|mahira sharma|bigg boss 13 full episode|arhaan khan|siddharth arti|salman khan|devoleena siddharth love|asim sid big fight|shehnaz sid cute moment,306700,3931,264,4185,https://i.ytimg.com/vi/eiFSb5rZYb4/default.jpg,False,False,2019-11-22,06:46:14,6,1,306700.0
Kl7lablW1DE,FULL MATCH: Seth Rollins vs. Shinsuke Nakamura – Champion vs. Champion Match: Survivor Series 2018,2019-11-21T16:00:05.000Z,UCJ5v_MCY6GNUBTO8-D3XoAg,Sports,WWE,17,2019-11-22,wwe|world wrestling entertainment|wrestling|wrestler|wrestle|superstars|कुश्ती|पहलवान|डब्लू डब्लू ई|मैच|सुपरस्टार|व्यावसायिक कुश्ती|مصارعه|wwe 2019|Survivor Series|Seth Rollins|Shinsuke Nakamura|survivor series 2018|seth rollins vs. shinsuke nakamura|rollins vs nakamura|seth rollins full match|shinsuke nakamura full match|wwe full match|survivor series full match|champions vs champions wwe,1483608,41234,1492,1474,https://i.ytimg.com/vi/Kl7lablW1DE/default.jpg,False,False,2019-11-21,16:00:05,16,1,1483608.0
AuPdq0cjDAs,"Paytm Flat Rs.300 Cashback, Paypal Christmas Offer, Jio Free Data, Airtel Merchant Offer !!",2019-11-21T15:55:06.000Z,UC3mjrLGFhSxhWMit0ICh9GQ,Science & Technology,EagleTek,28,2019-11-22,Paytm Flat Rs.300 Cashback|Paypal Christmas Offer|Jio Free Data|Airtel Merchant Offer|earn money online|jio wheel offer|online recharge offer|online jio offer|jio main balance offer|how to ea,92706,7760,537,1108,https://i.ytimg.com/vi/AuPdq0cjDAs/default.jpg,False,False,2019-11-21,15:55:06,15,1,92706.0
a9LV70mFL6Y,"Manoranjan Mishra Live: BK Sharma Removed As DGP, Satyajit Mohanty To Take Charge",2019-11-20T17:22:38.000Z,UC90RW5ZmBBqp4r2QIQxfACA,News & Politics,Kanak News,25,2019-11-22,odisha news|odisha latest news|Odisha Latest|latest news|odisha politics|odia famous people|Orissa News|Orissa Latest News|Orissa Latest|Orissa|Odisha|bhubaneswar|sambalpur|kanak news|puri|cuttack|oriya news|news odisha|odia news,72650,784,96,55,https://i.ytimg.com/vi/a9LV70mFL6Y/default.jpg,False,False,2019-11-20,17:22:38,17,2,36325.0
Hn45AHg8FeE,"Kundali Bhagya - कुंडली भाग्य | Ep 624 | Nov 21, 2019 | Preview | Zee TV",2019-11-21T08:09:40.000Z,UCppHT7SZKKvar4Oc9J4oljQ,Film & Animation,Zee TV,1,2019-11-22,kundali bhagya today|kundali bhagya|kundali bhagya serial|kundali bhagya 22 october 2018 full episode|kundali bhagya aaj ka episode|preeta and karan romance|preeta and karan dance|preeta and rishabh dance in gold awards|preeta and rishabh hug|srishti and sameer scenes|zee tv show kundali bhagya|zee tv kumkum bhagya,591169,4491,366,148,https://i.ytimg.com/vi/Hn45AHg8FeE/default.jpg,False,False,2019-11-21,08:09:40,8,1,591169.0
4aNYgIIQfCQ,Chhudake Daman - Teaser || Satyajeet Jena,2019-11-21T11:44:17.000Z,UCP_b12xavk-H9EXp5JXLOEA,Music,Satyajeet Jena Official,10,2019-11-22,chhudake daman satyajeet jena|chhudake daman|satyajeet jena official|satyajeet jena|satyajeet jena new song|satyajeet jena songs new|satyajeet jena new song 2019|satyajeet jena songs|satyajeet jena songs new 2019 dj|chhuda ke daman toh jaa rahe ho status|satyajeet jena official new song|satyajeet jena all song|satyajeet jena new song dj|new hindi song satyajeet jena 2019 dj nonstop|satyajeet jena new song dj remix|satyajeet jena new song 2019 dj,119553,7379,193,811,https://i.ytimg.com/vi/4aNYgIIQfCQ/default.jpg,False,False,2019-11-21,11:44:17,11,1,119553.0
